pile_idx1,pile_idx2,pile_name1,pile_name2,term,term_idx,mds_xcoord,mds_ycoord,neighbors1,neighbors2,performances
35,11,reflected,complex,cerebral,19,0.4733596,-0.26803964,"[34, 101, 103, 104, 129, 137]","[29, 78, 94]","[2, 16, 39]"
21,24,fast,hitting_the_piano,chaotic,20,0.51595545,0.18959603,"[14, 45, 51, 56, 64, 68, 70, 73, 105, 113]","[0, 15, 22, 23, 132, 141, 145]","[11, 30, 40, 42]"
23,8,happy,childhood,childlike,21,0.18120866,-0.5482002,"[7, 66, 76, 79, 102]","[46, 76, 120]","[1, 33]"
42,24,uneven,hitting_the_piano,chopped,22,0.43906838,0.054240834,"[0, 15, 72, 80, 132, 141, 144, 145]","[0, 15, 20, 23, 132, 141, 145]","[1, 2, 5, 8, 11, 27, 34, 42]"
27,24,loud,hitting_the_piano,clanking,23,-0.05033743,0.64718854,"[2, 13, 67, 69, 85, 92, 118]","[0, 15, 20, 22, 132, 141, 145]","[25, 35]"
41,12,sterile,controlled,clean,24,-0.059859265,0.09472478,"[25, 43, 117, 128]","[18, 31, 38, 52, 130, 131]","[5, 7, 12, 16, 18, 25, 38, 39, 43, 44, 47, 49, 50, 52]"
41,6,sterile,articulated,clear,25,-0.081957646,0.10106313,"[24, 43, 117, 128]","[1, 13, 49, 86, 118, 126]","[2, 7, 12, 14, 16, 18, 24, 26, 27, 32, 39, 41, 44, 49, 50]"
9,15,clumsy,dirty_pile,clumsy,26,0.49502125,0.12578487,[],"[9, 39, 63, 121, 138]","[26, 30, 31, 42]"
10,28,cold,machine-like,cold,27,-0.005071688,0.2213739,"[30, 40, 71, 107]","[43, 71, 88, 92, 93, 107, 109, 117, 127, 128, 133, 140, 143]","[2, 3, 5, 8, 10, 13, 16, 25, 42, 47, 52]"
19,33,expressive,puppies,colorful,28,0.38487843,-0.40292874,"[29, 38, 53, 112]","[14, 32, 45, 50, 56, 64, 66, 79, 80, 84, 85, 102]","[1, 27, 45]"
19,11,expressive,complex,complex,29,0.6221829,-0.50199515,"[28, 38, 53, 112]","[19, 78, 94]",[11]
10,30,cold,military,conservative,30,0.28195244,-0.73243904,"[27, 40, 71, 107]","[7, 35, 37, 47, 87, 96, 125, 142]",[17]
36,12,robotic,controlled,controlled,31,0.07000293,0.37285024,"[8, 11, 44, 52, 87, 88, 93, 109, 127, 131, 133, 140, 142, 143]","[18, 24, 38, 52, 130, 131]","[15, 18, 38, 39, 49]"
43,33,weightless,puppies,dancing,32,0.51727295,-0.31524158,"[4, 12, 57, 58, 83, 98, 100, 116, 123, 148]","[14, 28, 45, 50, 56, 64, 66, 79, 80, 84, 85, 102]","[2, 27]"
13,29,dark,melancholic,dark,33,-0.18756254,0.075599335,"[125, 149]","[34, 69, 97, 114, 122, 149]","[7, 9, 13, 19, 32, 37, 39, 40, 42, 43, 46, 47]"
35,29,reflected,melancholic,deep,34,-0.6144569,-0.29137716,"[19, 101, 103, 104, 129, 137]","[33, 69, 97, 114, 122, 149]","[3, 7]"
1,30,Gould1,military,deliberate,35,0.16910382,-0.44181192,"[10, 37, 54, 75, 78]","[7, 30, 37, 47, 87, 96, 125, 142]","[1, 9, 14, 33]"
40,18,soft,ethereal,delicate,36,-0.41032073,-0.038958985,"[42, 65, 89, 124, 134]","[4, 12, 57, 59, 83, 124, 136, 148]","[3, 7, 9, 10, 12, 14, 19, 32, 43, 47, 49, 50]"
1,30,Gould1,military,determined,37,0.4100705,-0.29952508,"[10, 35, 54, 75, 78]","[7, 30, 35, 47, 87, 96, 125, 142]","[11, 18, 39, 40]"
19,12,expressive,controlled,differentiated,38,-0.033112496,-0.24093997,"[28, 29, 53, 112]","[18, 24, 31, 52, 130, 131]","[9, 17, 26, 33, 47, 50]"
14,15,dirty,dirty_pile,dirty,39,0.51895523,0.42537338,"[9, 63, 108, 121, 138]","[9, 26, 63, 121, 138]","[32, 34, 41]"
10,25,cold,impressionist,distant,40,-0.21293113,-0.06577177,"[27, 30, 71, 107]","[42, 101, 106, 115, 137]","[1, 10, 15, 17, 24, 36, 37, 44, 45, 46, 51]"
26,0,intense,Beethoven,dramatic,41,-0.1618095,0.07941783,"[49, 61, 77, 139, 146]","[48, 53, 77, 98, 99, 103, 105, 110, 112, 123, 139]","[3, 11, 12, 13, 15, 16, 17, 18, 19, 24, 26, 35, 36, 38, 40]"
40,25,soft,impressionist,dreamy,42,-0.22305688,-0.053083804,"[36, 65, 89, 124, 134]","[40, 101, 106, 115, 137]","[3, 6, 7, 10, 11, 15, 26, 31, 32, 35, 43, 46, 49, 50, 51]"
41,28,sterile,machine-like,dry,43,0.12511812,0.11442153,"[24, 25, 117, 128]","[27, 71, 88, 92, 93, 107, 109, 117, 127, 128, 133, 140, 143]","[6, 7, 8, 16, 18, 25, 27, 30, 33, 38, 40, 42, 52]"
36,7,robotic,bland,dull,44,0.23964718,0.53108424,"[8, 11, 31, 52, 87, 88, 93, 109, 127, 131, 133, 140, 142, 143]","[5, 8, 11, 119]","[1, 9, 34]"
21,33,fast,puppies,eager,45,0.39787474,-0.4029929,"[14, 20, 51, 56, 64, 68, 70, 73, 105, 113]","[14, 28, 32, 50, 56, 64, 66, 79, 80, 84, 85, 102]","[33, 37]"
39,8,simple,childhood,easy,46,-0.35600287,-0.43227738,"[60, 120, 130]","[21, 76, 120]","[32, 33, 51]"
16,30,elegant,military,elegant,47,-0.12597458,-0.42253032,[96],"[7, 30, 35, 37, 87, 96, 125, 142]","[6, 7, 33, 50]"
17,0,emotional,Beethoven,emotional,48,-0.20226826,0.016820727,"[50, 55, 74, 81, 84, 91, 94, 97, 99, 110]","[41, 53, 77, 98, 99, 103, 105, 110, 112, 123, 139]","[3, 8, 10, 11, 19, 31, 36, 43, 44, 46, 47, 48, 49, 50, 51]"
26,6,intense,articulated,emphatic,49,-0.27935255,0.5787151,"[41, 61, 77, 139, 146]","[1, 13, 25, 86, 118, 126]","[25, 40, 43]"
17,33,emotional,puppies,energetic,50,0.24470557,-0.1538126,"[48, 55, 74, 81, 84, 91, 94, 97, 99, 110]","[14, 28, 32, 45, 56, 64, 66, 79, 80, 84, 85, 102]","[1, 11, 18, 24, 30, 33, 38, 52]"
21,2,fast,Gould2,erratic,51,0.5197315,0.19922599,"[14, 20, 45, 56, 64, 68, 70, 73, 105, 113]","[72, 144]","[11, 25, 30, 34, 45]"
36,12,robotic,controlled,etude-like,52,0.2715677,0.824752,"[8, 11, 31, 44, 87, 88, 93, 109, 127, 131, 133, 140, 142, 143]","[18, 24, 31, 38, 130, 131]",[]
19,0,expressive,Beethoven,expressive,53,-0.04911584,-0.022842193,"[28, 29, 38, 112]","[41, 48, 77, 98, 99, 103, 105, 110, 112, 123, 139]","[1, 3, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 24, 26, 30, 33, 35, 36, 37, 38, 39, 40, 43, 44, 45, 49, 50, 51]"
1,20,Gould1,false,fake,54,0.67733127,-0.4067679,"[10, 35, 37, 75, 78]","[75, 81]","[2, 48]"
17,32,emotional,professional,fantastic,55,-0.18242282,-0.58705705,"[48, 50, 74, 81, 84, 91, 94, 97, 99, 110]","[10, 60, 62, 91, 104, 108, 111, 129, 146]","[16, 26]"
21,33,fast,puppies,fast,56,0.1311668,-0.036957376,"[14, 20, 45, 51, 64, 68, 70, 73, 105, 113]","[14, 28, 32, 45, 50, 64, 66, 79, 80, 84, 85, 102]","[1, 5, 7, 10, 11, 13, 15, 16, 17, 26, 27, 30, 32, 33, 36, 37, 38, 39, 41, 43, 46, 52]"
43,18,weightless,ethereal,floating,57,-0.4255063,-0.07371411,"[4, 12, 32, 58, 83, 98, 100, 116, 123, 148]","[4, 12, 36, 59, 83, 124, 136, 148]","[1, 3, 7, 13, 19, 50]"
43,31,weightless,peaceful,flowing,58,-0.17988215,-0.072939865,"[4, 12, 32, 57, 83, 98, 100, 116, 123, 148]","[16, 17, 65, 82, 89, 90, 100, 116, 134, 147]","[1, 3, 6, 7, 9, 10, 13, 16, 17, 19, 32, 36, 40, 43, 46, 49]"
34,18,quiet,ethereal,fragile,59,-0.7125118,0.04450665,"[16, 106, 119, 136]","[4, 12, 36, 57, 83, 124, 136, 148]","[9, 50]"
39,32,simple,professional,free,60,-0.22923213,-0.45785594,"[46, 120, 130]","[10, 55, 62, 91, 104, 108, 111, 129, 146]","[18, 32, 33]"
26,22,intense,frenetic,frenetic,61,0.30643845,0.13622147,"[41, 49, 77, 139, 146]","[2, 3, 6, 67, 68, 70, 73, 74, 95, 113, 135]","[26, 32, 52]"
37,32,round,professional,full,62,-0.36582914,-0.2555406,"[17, 82, 90, 111, 147]","[10, 55, 60, 91, 104, 108, 111, 129, 146]","[7, 15, 25, 36, 43, 44]"
14,15,dirty,dirty_pile,fuzzy,63,0.67587996,0.27447653,"[9, 39, 108, 121, 138]","[9, 26, 39, 121, 138]","[30, 42]"
21,33,fast,puppies,galloping,64,0.5458775,0.048733294,"[14, 20, 45, 51, 56, 68, 70, 73, 105, 113]","[14, 28, 32, 45, 50, 56, 66, 79, 80, 84, 85, 102]","[2, 30, 41, 52]"
40,31,soft,peaceful,gentle,65,-0.3193141,-0.07500362,"[36, 42, 89, 124, 134]","[16, 17, 58, 82, 89, 90, 100, 116, 134, 147]","[3, 6, 7, 10, 19, 31, 37, 42, 45, 46, 50, 51]"
23,33,happy,puppies,happy,66,0.09770561,-0.1520943,"[7, 21, 76, 79, 102]","[14, 28, 32, 45, 50, 56, 64, 79, 80, 84, 85, 102]","[27, 30, 32, 33, 44, 45, 49, 50]"
27,22,loud,frenetic,harsh,67,0.06787368,0.3253924,"[2, 13, 23, 69, 85, 92, 118]","[2, 3, 6, 61, 68, 70, 73, 74, 95, 113, 135]","[1, 8, 18, 43]"
21,22,fast,frenetic,hasty,68,0.284036,0.01847356,"[14, 20, 45, 51, 56, 64, 70, 73, 105, 113]","[2, 3, 6, 61, 67, 70, 73, 74, 95, 113, 135]","[1, 5, 11, 16, 17, 25, 26, 37, 46, 52]"
27,29,loud,melancholic,heavy,69,-0.36512202,0.19572012,"[2, 13, 23, 67, 85, 92, 118]","[33, 34, 97, 114, 122, 149]","[3, 12, 18, 35, 36, 37, 39]"
21,22,fast,frenetic,hectic,70,0.35707268,0.22034413,"[14, 20, 45, 51, 56, 64, 68, 73, 105, 113]","[2, 3, 6, 61, 67, 68, 73, 74, 95, 113, 135]","[1, 5, 25, 37, 41, 52]"
10,28,cold,machine-like,holding_back,71,-0.08277425,0.72444504,"[27, 30, 40, 107]","[27, 43, 88, 92, 93, 107, 109, 117, 127, 128, 133, 140, 143]","[24, 40]"
42,2,uneven,Gould2,idiosyncratic,72,0.7230553,-0.010227809,"[0, 15, 22, 80, 132, 141, 144, 145]","[51, 144]","[2, 52]"
21,22,fast,frenetic,impatient,73,0.2679497,0.25799042,"[14, 20, 45, 51, 56, 64, 68, 70, 105, 113]","[2, 3, 6, 61, 67, 68, 70, 74, 95, 113, 135]","[13, 18, 32, 41]"
17,22,emotional,frenetic,impetuous,74,0.3849544,-0.51925004,"[48, 50, 55, 81, 84, 91, 94, 97, 99, 110]","[2, 3, 6, 61, 67, 68, 70, 73, 95, 113, 135]",[38]
1,20,Gould1,false,inappropriate,75,0.60920846,-0.5537756,"[10, 35, 37, 54, 78]","[54, 81]",[11]
23,8,happy,childhood,innocent,76,-0.503443,-0.36537302,"[7, 21, 66, 79, 102]","[21, 46, 120]","[2, 3]"
26,0,intense,Beethoven,intense,77,0.24888639,-0.14596383,"[41, 49, 61, 139, 146]","[41, 48, 53, 98, 99, 103, 105, 110, 112, 123, 139]","[2, 17, 26, 38]"
1,11,Gould1,complex,ironic,78,0.6554787,-0.6756637,"[10, 35, 37, 54, 75]","[19, 29, 94]",[]
23,33,happy,puppies,joyful,79,-0.0803965,-0.21326584,"[7, 21, 66, 76, 102]","[14, 28, 32, 45, 50, 56, 64, 66, 80, 84, 85, 102]","[18, 31, 32, 49, 50]"
42,33,uneven,puppies,jumpy,80,0.60310894,-0.17561817,"[0, 15, 22, 72, 132, 141, 144, 145]","[14, 28, 32, 45, 50, 56, 64, 66, 79, 84, 85, 102]","[2, 16]"
17,20,emotional,false,kitschy,81,-0.14106187,-0.68956685,"[48, 50, 55, 74, 84, 91, 94, 97, 99, 110]","[54, 75]",[7]
37,31,round,peaceful,legato,82,-0.5115804,0.25377122,"[17, 62, 90, 111, 147]","[16, 17, 58, 65, 89, 90, 100, 116, 134, 147]","[2, 24, 51]"
43,18,weightless,ethereal,light,83,-0.017948568,-0.054882653,"[4, 12, 32, 57, 58, 98, 100, 116, 123, 148]","[4, 12, 36, 57, 59, 124, 136, 148]","[2, 5, 6, 8, 9, 10, 13, 16, 17, 19, 27, 31, 32, 33, 38, 44, 45, 46, 49, 52]"
17,33,emotional,puppies,lively,84,0.10728084,-0.16331552,"[48, 50, 55, 74, 81, 91, 94, 97, 99, 110]","[14, 28, 32, 45, 50, 56, 64, 66, 79, 80, 85, 102]","[5, 11, 13, 16, 17, 32, 33, 35, 36, 46, 49, 52]"
27,33,loud,puppies,loud,85,0.044644773,-0.016212605,"[2, 13, 23, 67, 69, 92, 118]","[14, 28, 32, 45, 50, 56, 64, 66, 79, 80, 84, 102]","[3, 9, 11, 13, 15, 16, 24, 25, 30, 33, 36, 37, 38, 40, 42, 43, 48, 49]"
3,6,accentuated,articulated,marcato,86,-0.5821921,0.6378506,"[1, 126]","[1, 13, 25, 49, 118, 126]",[51]
36,30,robotic,military,marching,87,0.42005143,0.6128089,"[8, 11, 31, 44, 52, 88, 93, 109, 127, 131, 133, 140, 142, 143]","[7, 30, 35, 37, 47, 96, 125, 142]","[34, 39]"
36,28,robotic,machine-like,mechanical,88,0.12160686,0.18239884,"[8, 11, 31, 44, 52, 87, 93, 109, 127, 131, 133, 140, 142, 143]","[27, 43, 71, 92, 93, 107, 109, 117, 127, 128, 133, 140, 143]","[1, 2, 5, 7, 8, 14, 16, 18, 24, 30, 34, 37, 39, 40, 41, 42, 44, 45, 48, 52]"
40,31,soft,peaceful,mellow,89,-0.30541378,-0.113963574,"[36, 42, 65, 124, 134]","[16, 17, 58, 65, 82, 90, 100, 116, 134, 147]","[3, 6, 7, 10, 12, 16, 17, 31, 33, 36, 37, 50, 51]"
37,31,round,peaceful,melodious,90,-0.34595406,-0.17889869,"[17, 62, 82, 111, 147]","[16, 17, 58, 65, 82, 89, 100, 116, 134, 147]","[10, 24, 33, 43, 49]"
17,32,emotional,professional,mesmerizing,91,-0.51790184,-0.5287726,"[48, 50, 55, 74, 81, 84, 94, 97, 99, 110]","[10, 55, 60, 62, 104, 108, 111, 129, 146]",[3]
27,28,loud,machine-like,metallic,92,0.13890804,0.637469,"[2, 13, 23, 67, 69, 85, 118]","[27, 43, 71, 88, 93, 107, 109, 117, 127, 128, 133, 140, 143]","[8, 34, 37]"
36,28,robotic,machine-like,monotonous,93,0.18368678,0.36081806,"[8, 11, 31, 44, 52, 87, 88, 109, 127, 131, 133, 140, 142, 143]","[27, 43, 71, 88, 92, 107, 109, 117, 127, 128, 133, 140, 143]","[2, 8, 9, 16, 30, 31, 34, 47, 48]"
17,11,emotional,complex,mysterious,94,-0.053660642,-0.14433967,"[48, 50, 55, 74, 81, 84, 91, 97, 99, 110]","[19, 29, 78]","[6, 10, 14, 15, 19, 24, 26, 38, 42]"
5,22,anxious,frenetic,nervous,95,0.25341293,0.08690085,"[3, 6, 135]","[2, 3, 6, 61, 67, 68, 70, 73, 74, 113, 135]","[1, 5, 25, 33, 39, 41, 46, 52]"
16,30,elegant,military,noble,96,-0.07135334,-0.67719966,[47],"[7, 30, 35, 37, 47, 87, 125, 142]","[6, 35]"
17,29,emotional,melancholic,nostalgic,97,-0.6209476,-0.27587992,"[48, 50, 55, 74, 81, 84, 91, 94, 99, 110]","[33, 34, 69, 114, 122, 149]","[47, 50]"
43,0,weightless,Beethoven,oscillating,98,-0.64706886,0.4457473,"[4, 12, 32, 57, 58, 83, 100, 116, 123, 148]","[41, 48, 53, 77, 99, 103, 105, 110, 112, 123, 139]",[27]
17,0,emotional,Beethoven,passionate,99,-0.10676853,-0.0946709,"[48, 50, 55, 74, 81, 84, 91, 94, 97, 110]","[41, 48, 53, 77, 98, 103, 105, 110, 112, 123, 139]","[3, 11, 12, 13, 14, 15, 17, 25, 26, 31, 33, 35, 37, 38, 40, 43, 45]"
43,31,weightless,peaceful,peaceful,100,-0.41709334,0.17155902,"[4, 12, 32, 57, 58, 83, 98, 116, 123, 148]","[16, 17, 58, 65, 82, 89, 90, 116, 134, 147]","[2, 6, 9, 35, 51]"
35,25,reflected,impressionist,pensive,101,-0.3158046,0.04332315,"[19, 34, 103, 104, 129, 137]","[40, 42, 106, 115, 137]","[6, 12, 24, 31, 32, 40, 43, 46, 47, 50]"
23,33,happy,puppies,playful,102,0.12299055,-0.06297657,"[7, 21, 66, 76, 79]","[14, 28, 32, 45, 50, 56, 64, 66, 79, 80, 84, 85]","[1, 2, 5, 18, 26, 27, 32, 33, 37, 39, 49, 51, 52]"
35,0,reflected,Beethoven,ponderous,103,-0.33354598,0.22195233,"[19, 34, 101, 104, 129, 137]","[41, 48, 53, 77, 98, 99, 105, 110, 112, 123, 139]","[12, 14, 31, 35, 42, 50]"
35,32,reflected,professional,professional,104,-0.3959948,-0.3582666,"[19, 34, 101, 103, 129, 137]","[10, 55, 60, 62, 91, 108, 111, 129, 146]","[3, 10, 15, 17, 45]"
21,0,fast,Beethoven,pushing_forward,105,-0.32899266,0.66824067,"[14, 20, 45, 51, 56, 64, 68, 70, 73, 113]","[41, 48, 53, 77, 98, 99, 103, 110, 112, 123, 139]",[44]
34,25,quiet,impressionist,quiet,106,-0.350081,0.021364663,"[16, 59, 119, 136]","[40, 42, 101, 115, 137]","[6, 7, 10, 35, 42, 49, 50, 51]"
10,28,cold,machine-like,restrained,107,-0.21969052,0.3402867,"[27, 30, 40, 71]","[27, 43, 71, 88, 92, 93, 109, 117, 127, 128, 133, 140, 143]","[9, 12, 17, 33, 47]"
14,32,dirty,professional,reverberant,108,-0.17797545,-0.39970413,"[9, 39, 63, 121, 138]","[10, 55, 60, 62, 91, 104, 111, 129, 146]","[1, 7, 13, 43]"
36,28,robotic,machine-like,robotic,109,0.30050102,0.70997787,"[8, 11, 31, 44, 52, 87, 88, 93, 127, 131, 133, 140, 142, 143]","[27, 43, 71, 88, 92, 93, 107, 117, 127, 128, 133, 140, 143]","[8, 34, 48]"
17,0,emotional,Beethoven,romantic,110,-0.17405428,-0.104352914,"[48, 50, 55, 74, 81, 84, 91, 94, 97, 99]","[41, 48, 53, 77, 98, 99, 103, 105, 112, 123, 139]","[1, 3, 11, 31, 35, 38, 43, 50]"
37,32,round,professional,round,111,-0.19035874,-0.30468464,"[17, 62, 82, 90, 147]","[10, 55, 60, 62, 91, 104, 108, 129, 146]","[26, 36, 38, 40, 49]"
19,0,expressive,Beethoven,rubato,112,0.1775433,-0.57234746,"[28, 29, 38, 53]","[41, 48, 53, 77, 98, 99, 103, 105, 110, 123, 139]","[33, 45]"
21,22,fast,frenetic,rushed,113,0.1905181,0.023211308,"[14, 20, 45, 51, 56, 64, 68, 70, 73, 105]","[2, 3, 6, 61, 67, 68, 70, 73, 74, 95, 135]","[1, 5, 11, 13, 17, 18, 26, 32, 33, 37, 38, 41, 42, 52]"
38,29,sad,melancholic,sad,114,-0.43044257,-0.025729354,[122],"[33, 34, 69, 97, 122, 149]","[3, 7, 9, 10, 14, 24, 35, 40, 47, 50]"
4,25,amateur,impressionist,searching,115,-0.24574524,-0.78880286,"[5, 18]","[40, 42, 101, 106, 137]",[6]
43,31,weightless,peaceful,serene,116,-0.53844035,0.08916918,"[4, 12, 32, 57, 58, 83, 98, 100, 123, 148]","[16, 17, 58, 65, 82, 89, 90, 100, 134, 147]","[3, 35, 46, 49]"
41,28,sterile,machine-like,shallow,117,-0.08118685,0.4359405,"[24, 25, 43, 128]","[27, 43, 71, 88, 92, 93, 107, 109, 127, 128, 133, 140, 143]","[1, 35, 36]"
27,6,loud,articulated,sharp,118,-0.25847778,0.4052893,"[2, 13, 23, 67, 69, 85, 92]","[1, 13, 25, 49, 86, 126]","[7, 12, 18, 25]"
34,7,quiet,bland,shy,119,-0.69467705,-0.10751007,"[16, 59, 106, 136]","[5, 8, 11, 44]","[3, 10, 15]"
39,8,simple,childhood,simple,120,-0.19768758,-0.44617286,"[46, 60, 130]","[21, 46, 76]","[2, 7, 31]"
14,15,dirty,dirty_pile,sloppy,121,0.56818056,0.21978103,"[9, 39, 63, 108, 138]","[9, 26, 39, 63, 138]","[5, 30, 40, 41]"
38,29,sad,melancholic,slow,122,-0.23026991,0.044330865,[114],"[33, 34, 69, 97, 114, 149]","[3, 9, 12, 14, 15, 17, 24, 27, 31, 35, 40, 42, 45, 47, 49, 50, 51]"
43,0,weightless,Beethoven,soaring,123,-0.55587405,0.1201279,"[4, 12, 32, 57, 58, 83, 98, 100, 116, 148]","[41, 48, 53, 77, 98, 99, 103, 105, 110, 112, 139]","[3, 12, 13, 15, 19]"
40,18,soft,ethereal,soft,124,-0.080934525,-0.00034698492,"[36, 42, 65, 89, 134]","[4, 12, 36, 57, 59, 83, 136, 148]","[3, 5, 6, 7, 9, 10, 11, 12, 15, 16, 18, 19, 24, 25, 32, 33, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51]"
13,30,dark,military,solemn,125,0.0033637488,-0.5404536,"[33, 149]","[7, 30, 35, 37, 47, 87, 96, 142]","[9, 15, 38]"
3,6,accentuated,articulated,staccato,126,0.3031259,0.23826545,"[1, 86]","[1, 13, 25, 49, 86, 118]","[2, 8, 16, 18, 27, 30, 34, 42, 52]"
36,28,robotic,machine-like,static,127,0.2611205,0.478455,"[8, 11, 31, 44, 52, 87, 88, 93, 109, 131, 133, 140, 142, 143]","[27, 43, 71, 88, 92, 93, 107, 109, 117, 128, 133, 140, 143]","[2, 14, 34, 40, 41]"
41,28,sterile,machine-like,sterile,128,-0.101573385,0.27728555,"[24, 25, 43, 117]","[27, 43, 71, 88, 92, 93, 107, 109, 117, 127, 133, 140, 143]","[2, 7, 8, 48, 50]"
35,32,reflected,professional,story-telling,129,-0.51282233,-0.73791444,"[19, 34, 101, 103, 104, 137]","[10, 55, 60, 62, 91, 104, 108, 111, 146]",[]
39,12,simple,controlled,straightforward,130,0.11702018,-0.40035754,"[46, 60, 120]","[18, 24, 31, 38, 52, 131]","[1, 49]"
36,12,robotic,controlled,strict,131,0.28109115,0.5241394,"[8, 11, 31, 44, 52, 87, 88, 93, 109, 127, 133, 140, 142, 143]","[18, 24, 31, 38, 52, 130]","[10, 30, 48]"
42,24,uneven,hitting_the_piano,stuttering,132,0.60259837,0.31845903,"[0, 15, 22, 72, 80, 141, 144, 145]","[0, 15, 20, 22, 23, 141, 145]","[11, 34, 42]"
36,28,robotic,machine-like,technical,133,0.28881434,0.59867835,"[8, 11, 31, 44, 52, 87, 88, 93, 109, 127, 131, 140, 142, 143]","[27, 43, 71, 88, 92, 93, 107, 109, 117, 127, 128, 140, 143]","[26, 41]"
40,31,soft,peaceful,tender,134,-0.34406236,0.12275395,"[36, 42, 65, 89, 124]","[16, 17, 58, 65, 82, 89, 90, 100, 116, 147]","[6, 9, 10, 12, 16, 31, 32, 35, 43, 47, 51]"
5,22,anxious,frenetic,tense,135,-0.13233146,0.35217038,"[3, 6, 95]","[2, 3, 6, 61, 67, 68, 70, 73, 74, 95, 113]","[12, 14, 18, 24, 27, 35]"
34,18,quiet,ethereal,thin,136,-0.7357175,0.04903044,"[16, 59, 106, 119]","[4, 12, 36, 57, 59, 83, 124, 148]","[3, 37]"
35,25,reflected,impressionist,thoughtful,137,-0.43382764,-0.14954136,"[19, 34, 101, 103, 104, 129]","[40, 42, 101, 106, 115]","[14, 31, 32, 43, 46, 50]"
14,15,dirty,dirty_pile,too_much_pedal,138,0.015718127,-0.67938095,"[9, 39, 63, 108, 121]","[9, 26, 39, 63, 121]","[7, 45]"
