pile_idx1,pile_idx2,pile_name1,pile_name2,term,term_idx,mds_xcoord,mds_ycoord,neighbors1,neighbors2,performances
36,28,robotic,machine-like,static,127,0.7150805,-0.20466536,"[8, 11, 31, 44, 52, 87, 88, 93, 109, 131, 133, 140, 142, 143]","[27, 43, 71, 88, 92, 93, 107, 109, 117, 128, 133, 140, 143]","[2, 14, 34, 40, 41]"
41,28,sterile,machine-like,sterile,128,0.7450361,-0.05318759,"[24, 25, 43, 117]","[27, 43, 71, 88, 92, 93, 107, 109, 117, 127, 133, 140, 143]","[2, 7, 8, 48, 50]"
35,32,reflected,professional,story-telling,129,-0.3272565,-0.45785373,"[19, 34, 101, 103, 104, 137]","[10, 55, 60, 62, 91, 104, 108, 111, 146]",[]
39,12,simple,controlled,straightforward,130,0.73283255,0.21088569,"[46, 60, 120]","[18, 24, 31, 38, 52, 131]","[1, 49]"
36,12,robotic,controlled,strict,131,0.6578294,-0.2642118,"[8, 11, 31, 44, 52, 87, 88, 93, 109, 127, 133, 140, 142, 143]","[18, 24, 31, 38, 52, 130]","[10, 30, 48]"
42,24,uneven,hitting_the_piano,stuttering,132,0.5947111,0.5632204,"[0, 15, 22, 72, 80, 141, 144, 145]","[0, 15, 20, 22, 23, 141, 145]","[11, 34, 42]"
36,28,robotic,machine-like,technical,133,0.6972609,-0.19945277,"[8, 11, 31, 44, 52, 87, 88, 93, 109, 127, 131, 140, 142, 143]","[27, 43, 71, 88, 92, 93, 107, 109, 117, 127, 128, 140, 143]","[26, 41]"
40,31,soft,peaceful,tender,134,-0.7316302,-0.26416978,"[36, 42, 65, 89, 124]","[16, 17, 58, 65, 82, 89, 90, 100, 116, 147]","[6, 9, 10, 12, 16, 31, 32, 35, 43, 47, 51]"
5,22,anxious,frenetic,tense,135,-0.22177471,0.7714582,"[3, 6, 95]","[2, 3, 6, 61, 67, 68, 70, 73, 74, 95, 113]","[12, 14, 18, 24, 27, 35]"
34,18,quiet,ethereal,thin,136,-0.77991956,0.08320371,"[16, 59, 106, 119]","[4, 12, 36, 57, 59, 83, 124, 148]","[3, 37]"
35,25,reflected,impressionist,thoughtful,137,-0.07008864,-0.5859967,"[19, 34, 101, 103, 104, 129]","[40, 42, 101, 106, 115]","[14, 31, 32, 43, 46, 50]"
14,15,dirty,dirty_pile,too_much_pedal,138,-0.2869598,-0.79246473,"[9, 39, 63, 108, 121]","[9, 26, 39, 63, 121]","[7, 45]"
